username,date,product,rating,review,sentiment_result,confidence,sentiment
user_4b7d01d8,2025-01-17,Infinix Note 30,1,Customer service was unhelpful and I want a refund. Screen is bright and colors are rich.,"{'label': 'POSITIVE', 'score': 0.9996323585510254}",0.9996323585510254,POSITIVE
user_841d8354,2025-01-19,Infinix Note 30,3,Not bad for the price. Some lag when switching apps.,"{'label': 'NEGATIVE', 'score': 0.9911817312240601}",0.9911817312240601,NEGATIVE
user_8bee5100,2024-11-07,Infinix Note 30,1,Received a defective unit. Not recommended.,"{'label': 'NEGATIVE', 'score': 0.999756395816803}",0.999756395816803,NEGATIVE
user_f7b55cb0,2025-09-14,Infinix Note 30,3,Package arrived intact. Phone is okay for everyday tasks.,"{'label': 'POSITIVE', 'score': 0.9969357252120972}",0.9969357252120972,POSITIVE
user_1890dac7,2025-09-16,Infinix Note 30,4,Amazing battery life and great screen — best purchase this month. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9997859597206116}",0.9997859597206116,POSITIVE
user_7069902e,2025-02-10,Infinix Note 30,4,I love this phone — great value for money and the battery lasts all day.,"{'label': 'POSITIVE', 'score': 0.9987255930900574}",0.9987255930900574,POSITIVE
user_02e4db3c,2025-03-22,Infinix Note 30,5,Very happy with my purchase. Smooth UI and no lag even with many apps.,"{'label': 'POSITIVE', 'score': 0.9998558759689331}",0.9998558759689331,POSITIVE
user_a970ce45,2025-09-19,Infinix Note 30,5,Fantastic build and fast performance. Camera is excellent for the price.,"{'label': 'POSITIVE', 'score': 0.9998677968978882}",0.9998677968978882,POSITIVE
user_305037cf,2025-07-10,Infinix Note 30,3,Average phone. Battery is fine but the camera could be better. Speakers sound tinny at high volume.,"{'label': 'NEGATIVE', 'score': 0.9833522439002991}",0.9833522439002991,NEGATIVE
user_caa54ac4,2025-03-04,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too. Delivery delayed by one week.","{'label': 'POSITIVE', 'score': 0.7204446792602539}",0.7204446792602539,POSITIVE
user_acba8e9d,2025-07-23,Infinix Note 30,1,Battery died within a few months. Wouldn't buy again. Sleek and modern design.,"{'label': 'NEGATIVE', 'score': 0.9967710375785828}",0.9967710375785828,NEGATIVE
user_fcb12957,2025-06-03,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too. Plenty of storage for apps and photos.","{'label': 'POSITIVE', 'score': 0.9981048107147217}",0.9981048107147217,POSITIVE
user_48e5a3b4,2025-09-17,Infinix Note 30,1,The phone arrived with scratches and the charger was missing. Speakers sound tinny at high volume.,"{'label': 'NEGATIVE', 'score': 0.9980964064598083}",0.9980964064598083,NEGATIVE
user_bda0f086,2025-01-18,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied. No lag when using social apps.,"{'label': 'POSITIVE', 'score': 0.9998039603233337}",0.9998039603233337,POSITIVE
user_b928dada,2025-08-16,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied. Delivery was fast and packaging was good.,"{'label': 'POSITIVE', 'score': 0.9998321533203125}",0.9998321533203125,POSITIVE
user_d03ce594,2025-01-22,Infinix Note 30,1,Worst purchase ever. Regretting this buy. Support was quick and helpful.,"{'label': 'NEGATIVE', 'score': 0.9480116367340088}",0.9480116367340088,NEGATIVE
user_89574308,2024-11-20,Infinix Note 30,4,Exceeded my expectations. Good performance and the camera is surprisingly good. Speakers sound tinny at high volume.,"{'label': 'POSITIVE', 'score': 0.9997479319572449}",0.9997479319572449,POSITIVE
user_fe4e9917,2025-01-01,Infinix Note 30,4,Solid device for the price. Battery life and display are impressive. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9997037053108215}",0.9997037053108215,POSITIVE
user_36d3f035,2025-09-11,Infinix Note 30,2,Very disappointed — camera is poor and delivery was delayed. Na real talk.,"{'label': 'NEGATIVE', 'score': 0.9996753931045532}",0.9996753931045532,NEGATIVE
user_7521c33a,2024-11-11,Infinix Note 30,1,Performance is sluggish and apps crash frequently. Price is a bit high for the features.,"{'label': 'NEGATIVE', 'score': 0.9970399737358093}",0.9970399737358093,NEGATIVE
user_b305ac0e,2025-04-24,Infinix Note 30,5,Very happy with my purchase. Smooth UI and no lag even with many apps. Photos are sharp during the day.,"{'label': 'POSITIVE', 'score': 0.9998434782028198}",0.9998434782028198,POSITIVE
user_42cbcbdb,2025-08-30,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good.,"{'label': 'POSITIVE', 'score': 0.9998700618743896}",0.9998700618743896,POSITIVE
user_a2d199ec,2025-03-04,Infinix Note 30,3,Works as advertised. Might consider an upgrade later. No lag when using social apps.,"{'label': 'NEGATIVE', 'score': 0.9706249833106995}",0.9706249833106995,NEGATIVE
user_bf136f00,2025-08-01,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone. Na real talk.","{'label': 'POSITIVE', 'score': 0.9995315074920654}",0.9995315074920654,POSITIVE
user_a26187ca,2025-04-13,Infinix Note 30,4,Solid device for the price. Battery life and display are impressive. Bought for my sibling.,"{'label': 'POSITIVE', 'score': 0.9998123049736023}",0.9998123049736023,POSITIVE
user_4212564a,2025-04-18,Infinix Note 30,1,Terrible experience. Battery drains too fast and phone heats up.,"{'label': 'NEGATIVE', 'score': 0.9985734224319458}",0.9985734224319458,NEGATIVE
user_6e5ca0a9,2025-06-17,Infinix Note 30,3,Functionality is acceptable; build quality is average.,"{'label': 'POSITIVE', 'score': 0.991151750087738}",0.991151750087738,POSITIVE
user_9f6b1b8d,2025-03-20,Infinix Note 30,1,Had many issues: random reboots and connectivity problems.,"{'label': 'NEGATIVE', 'score': 0.9996299743652344}",0.9996299743652344,NEGATIVE
user_18b8cd82,2025-06-25,Infinix Note 30,2,Bad quality. Screen cracked after a minor drop. Speakers are loud enough for calls.,"{'label': 'NEGATIVE', 'score': 0.9996896982192993}",0.9996896982192993,NEGATIVE
user_9367a731,2025-05-27,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too. Screen is bright and colors are rich.","{'label': 'POSITIVE', 'score': 0.9998277425765991}",0.9998277425765991,POSITIVE
user_101e483a,2025-06-05,Infinix Note 30,2,Customer service was unhelpful and I want a refund. Charging is slower than expected.,"{'label': 'NEGATIVE', 'score': 0.9994325041770935}",0.9994325041770935,NEGATIVE
user_dcbd184a,2024-12-10,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good. Support was not responsive.,"{'label': 'POSITIVE', 'score': 0.9951198101043701}",0.9951198101043701,POSITIVE
user_c9550f55,2025-01-23,Infinix Note 30,2,Very disappointed — camera is poor and delivery was delayed. Support was quick and helpful. Na real talk.,"{'label': 'NEGATIVE', 'score': 0.9968926310539246}",0.9968926310539246,NEGATIVE
user_fbdadf25,2024-11-10,Infinix Note 30,1,Battery died within a few months. Wouldn't buy again. Bought for my sibling.,"{'label': 'NEGATIVE', 'score': 0.999686598777771}",0.999686598777771,NEGATIVE
user_6faae0f0,2024-10-25,Infinix Note 30,2,Worst purchase ever. Regretting this buy. Low-light photos are grainy.,"{'label': 'NEGATIVE', 'score': 0.9994663596153259}",0.9994663596153259,NEGATIVE
user_48dcc77a,2025-01-09,Infinix Note 30,4,Very happy with my purchase. Smooth UI and no lag even with many apps. Design feels cheap and plasticky.,"{'label': 'NEGATIVE', 'score': 0.9475215077400208}",0.9475215077400208,NEGATIVE
user_2874fa53,2025-01-28,Infinix Note 30,2,Customer service was unhelpful and I want a refund. Storage fills up quickly with large apps.,"{'label': 'NEGATIVE', 'score': 0.9958376884460449}",0.9958376884460449,NEGATIVE
user_1f8619a1,2025-04-28,Infinix Note 30,5,Very happy with my purchase. Smooth UI and no lag even with many apps.,"{'label': 'POSITIVE', 'score': 0.9998558759689331}",0.9998558759689331,POSITIVE
user_699d09b5,2025-09-23,Infinix Note 30,4,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_1dc1a6ab,2024-12-26,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too.","{'label': 'POSITIVE', 'score': 0.9994518160820007}",0.9994518160820007,POSITIVE
user_facd594a,2025-08-23,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone. Na real talk.","{'label': 'POSITIVE', 'score': 0.9995315074920654}",0.9995315074920654,POSITIVE
user_7801300d,2025-08-15,Infinix Note 30,3,"Decent device, but expected a bit more from the camera. Speakers sound tinny at high volume. Na real talk.","{'label': 'NEGATIVE', 'score': 0.9809943437576294}",0.9809943437576294,NEGATIVE
user_94eb4cfb,2024-12-07,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too.","{'label': 'POSITIVE', 'score': 0.9994518160820007}",0.9994518160820007,POSITIVE
user_80eb3901,2025-02-15,Infinix Note 30,2,Battery died within a few months. Wouldn't buy again.,"{'label': 'NEGATIVE', 'score': 0.9996944665908813}",0.9996944665908813,NEGATIVE
user_22356184,2024-11-30,Infinix Note 30,5,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_ca0956fb,2025-09-05,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too. Audio is loud and clear.","{'label': 'POSITIVE', 'score': 0.9992578625679016}",0.9992578625679016,POSITIVE
user_53ada56f,2025-02-20,Infinix Note 30,4,"Good phone, nice screen quality and the battery charges quickly. Delivery was fast and packaging was good.","{'label': 'POSITIVE', 'score': 0.9995998740196228}",0.9995998740196228,POSITIVE
user_9801ce17,2024-10-25,Infinix Note 30,5,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_9b0ff6af,2025-03-16,Infinix Note 30,5,Amazing battery life and great screen — best purchase this month. Battery drains fast after update.,"{'label': 'POSITIVE', 'score': 0.9931102991104126}",0.9931102991104126,POSITIVE
user_fffa1e2d,2025-02-10,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied.,"{'label': 'POSITIVE', 'score': 0.9998502731323242}",0.9998502731323242,POSITIVE
user_33a9f352,2025-08-12,Infinix Note 30,5,Solid device for the price. Battery life and display are impressive.,"{'label': 'POSITIVE', 'score': 0.9998103976249695}",0.9998103976249695,POSITIVE
user_0658174f,2025-02-22,Infinix Note 30,1,Battery died within a few months. Wouldn't buy again. Plenty of storage for apps and photos.,"{'label': 'NEGATIVE', 'score': 0.9994702935218811}",0.9994702935218811,NEGATIVE
user_fd49a051,2025-05-27,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good. Screen has minor backlight bleeding.,"{'label': 'POSITIVE', 'score': 0.9979713559150696}",0.9979713559150696,POSITIVE
user_46583404,2025-04-20,Infinix Note 30,3,Functionality is acceptable; build quality is average. Low-light photos are grainy. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9870119690895081}",0.9870119690895081,POSITIVE
user_35d2b750,2025-07-06,Infinix Note 30,4,Fantastic build and fast performance. Camera is excellent for the price.,"{'label': 'POSITIVE', 'score': 0.9998677968978882}",0.9998677968978882,POSITIVE
user_7f59972c,2024-10-23,Infinix Note 30,1,Worst purchase ever. Regretting this buy. Delivery delayed by one week.,"{'label': 'NEGATIVE', 'score': 0.9998136162757874}",0.9998136162757874,NEGATIVE
user_bd3c5dbc,2025-10-03,Infinix Note 30,4,Solid device for the price. Battery life and display are impressive. Support was quick and helpful.,"{'label': 'POSITIVE', 'score': 0.9997491240501404}",0.9997491240501404,POSITIVE
user_8dab60e6,2025-09-08,Infinix Note 30,2,Worst purchase ever. Regretting this buy.,"{'label': 'NEGATIVE', 'score': 0.9998056292533875}",0.9998056292533875,NEGATIVE
user_81cb07f1,2025-04-10,Infinix Note 30,4,"Good phone, nice screen quality and the battery charges quickly. Audio is loud and clear.","{'label': 'POSITIVE', 'score': 0.9990705847740173}",0.9990705847740173,POSITIVE
user_097e911f,2025-02-23,Infinix Note 30,4,Solid device for the price. Battery life and display are impressive. Storage fills up quickly with large apps.,"{'label': 'POSITIVE', 'score': 0.9994909763336182}",0.9994909763336182,POSITIVE
user_e9fe20ca,2025-02-11,Infinix Note 30,3,Functionality is acceptable; build quality is average. Charging is slower than expected.,"{'label': 'NEGATIVE', 'score': 0.9853378534317017}",0.9853378534317017,NEGATIVE
user_e7e8e263,2025-02-21,Infinix Note 30,5,Amazing battery life and great screen — best purchase this month. Screen is bright and colors are rich.,"{'label': 'POSITIVE', 'score': 0.9998817443847656}",0.9998817443847656,POSITIVE
user_da7076a3,2025-06-06,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone. Price is a bit high for the features.","{'label': 'POSITIVE', 'score': 0.9992444515228271}",0.9992444515228271,POSITIVE
user_c4de35d1,2025-07-11,Infinix Note 30,5,Amazing battery life and great screen — best purchase this month.,"{'label': 'POSITIVE', 'score': 0.999850869178772}",0.999850869178772,POSITIVE
user_433a3dea,2025-02-07,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone.","{'label': 'POSITIVE', 'score': 0.9997642636299133}",0.9997642636299133,POSITIVE
user_f6c563ac,2025-02-16,Infinix Note 30,4,I love this phone — great value for money and the battery lasts all day. Screen has minor backlight bleeding.,"{'label': 'NEGATIVE', 'score': 0.9735249876976013}",0.9735249876976013,NEGATIVE
user_f48958f7,2025-05-13,Infinix Note 30,5,Solid device for the price. Battery life and display are impressive.,"{'label': 'POSITIVE', 'score': 0.9998103976249695}",0.9998103976249695,POSITIVE
user_3bb7acce,2024-10-28,Infinix Note 30,5,Fantastic build and fast performance. Camera is excellent for the price. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9998502731323242}",0.9998502731323242,POSITIVE
user_5ba43419,2025-01-21,Infinix Note 30,5,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_3ed0cc3b,2025-10-09,Infinix Note 30,5,Fantastic build and fast performance. Camera is excellent for the price.,"{'label': 'POSITIVE', 'score': 0.9998677968978882}",0.9998677968978882,POSITIVE
user_160207ed,2025-02-07,Infinix Note 30,3,Not bad for the price. Some lag when switching apps. Battery drains fast after update.,"{'label': 'NEGATIVE', 'score': 0.9980313181877136}",0.9980313181877136,NEGATIVE
user_f6629b00,2025-09-20,Infinix Note 30,5,I love this phone — great value for money and the battery lasts all day.,"{'label': 'POSITIVE', 'score': 0.9987255930900574}",0.9987255930900574,POSITIVE
user_f949cb92,2025-09-19,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too. Low-light photos are grainy. Na real talk.","{'label': 'POSITIVE', 'score': 0.9979123473167419}",0.9979123473167419,POSITIVE
user_09870e8c,2025-03-17,Infinix Note 30,4,Amazing battery life and great screen — best purchase this month.,"{'label': 'POSITIVE', 'score': 0.999850869178772}",0.999850869178772,POSITIVE
user_b40d0563,2024-12-19,Infinix Note 30,3,Good for the price if you don't need high-end specs. Charging is slower than expected.,"{'label': 'NEGATIVE', 'score': 0.9905378818511963}",0.9905378818511963,NEGATIVE
user_b1876337,2025-07-02,Infinix Note 30,1,Customer service was unhelpful and I want a refund.,"{'label': 'NEGATIVE', 'score': 0.9989004135131836}",0.9989004135131836,NEGATIVE
user_649b20a6,2025-09-08,Infinix Note 30,3,Works as advertised. Might consider an upgrade later.,"{'label': 'NEGATIVE', 'score': 0.9881848096847534}",0.9881848096847534,NEGATIVE
user_5317a769,2024-10-20,Infinix Note 30,5,"Great value. I recommend it to anyone looking for an affordable, powerful phone.","{'label': 'POSITIVE', 'score': 0.9997642636299133}",0.9997642636299133,POSITIVE
user_30b197c3,2024-11-19,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too. Screen has minor backlight bleeding.","{'label': 'NEGATIVE', 'score': 0.8539217710494995}",0.8539217710494995,NEGATIVE
user_ceec6089,2024-12-16,Infinix Note 30,4,Exceeded my expectations. Good performance and the camera is surprisingly good. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9998525381088257}",0.9998525381088257,POSITIVE
user_6b0bab5b,2025-05-14,Infinix Note 30,3,Good for the price if you don't need high-end specs.,"{'label': 'POSITIVE', 'score': 0.9995230436325073}",0.9995230436325073,POSITIVE
user_ecbbafb0,2025-09-26,Infinix Note 30,3,Works as advertised. Might consider an upgrade later. Bought for my sibling.,"{'label': 'NEGATIVE', 'score': 0.9966493248939514}",0.9966493248939514,NEGATIVE
user_39b8e413,2024-12-26,Infinix Note 30,1,Performance is sluggish and apps crash frequently. Na real talk.,"{'label': 'NEGATIVE', 'score': 0.9996030926704407}",0.9996030926704407,NEGATIVE
user_6713f384,2025-07-19,Infinix Note 30,5,I love this phone — great value for money and the battery lasts all day.,"{'label': 'POSITIVE', 'score': 0.9987255930900574}",0.9987255930900574,POSITIVE
user_17256af7,2025-02-07,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too.","{'label': 'POSITIVE', 'score': 0.9994518160820007}",0.9994518160820007,POSITIVE
user_adada002,2024-10-26,Infinix Note 30,1,The phone arrived with scratches and the charger was missing. Phone lags on heavy apps/gaming.,"{'label': 'NEGATIVE', 'score': 0.9997860789299011}",0.9997860789299011,NEGATIVE
user_3141b9e1,2025-05-04,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone.","{'label': 'POSITIVE', 'score': 0.9997642636299133}",0.9997642636299133,POSITIVE
user_5ac2b7be,2025-03-19,Infinix Note 30,4,"Great value. I recommend it to anyone looking for an affordable, powerful phone.","{'label': 'POSITIVE', 'score': 0.9997642636299133}",0.9997642636299133,POSITIVE
user_2e125104,2025-05-22,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied. Price is a bit high for the features.,"{'label': 'POSITIVE', 'score': 0.9998224377632141}",0.9998224377632141,POSITIVE
user_412419dd,2025-03-22,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too. Sleek and modern design. Bought for my sibling.","{'label': 'POSITIVE', 'score': 0.9996504783630371}",0.9996504783630371,POSITIVE
user_c6eb185e,2025-05-20,Infinix Note 30,4,Fantastic build and fast performance. Camera is excellent for the price.,"{'label': 'POSITIVE', 'score': 0.9998677968978882}",0.9998677968978882,POSITIVE
user_bda68034,2025-01-07,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good.,"{'label': 'POSITIVE', 'score': 0.9998700618743896}",0.9998700618743896,POSITIVE
user_bd9f770b,2025-03-18,Infinix Note 30,4,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_729d1e2b,2024-11-13,Infinix Note 30,5,The phone arrived on time and works perfectly. Very satisfied. Battery drains fast after update.,"{'label': 'POSITIVE', 'score': 0.9973996877670288}",0.9973996877670288,POSITIVE
user_48fab3bf,2025-01-11,Infinix Note 30,5,Very happy with my purchase. Smooth UI and no lag even with many apps.,"{'label': 'POSITIVE', 'score': 0.9998558759689331}",0.9998558759689331,POSITIVE
user_ff506692,2025-03-20,Infinix Note 30,4,Solid device for the price. Battery life and display are impressive.,"{'label': 'POSITIVE', 'score': 0.9998103976249695}",0.9998103976249695,POSITIVE
user_91d51350,2024-11-17,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too.","{'label': 'POSITIVE', 'score': 0.9994518160820007}",0.9994518160820007,POSITIVE
user_31adb842,2025-08-26,Infinix Note 30,1,The phone arrived with scratches and the charger was missing.,"{'label': 'NEGATIVE', 'score': 0.9996839761734009}",0.9996839761734009,NEGATIVE
user_27f619c4,2025-07-29,Infinix Note 30,1,The phone arrived with scratches and the charger was missing. Excellent price for the specs.,"{'label': 'NEGATIVE', 'score': 0.9986785054206848}",0.9986785054206848,NEGATIVE
user_ad86d539,2025-01-16,Infinix Note 30,4,Exceeded my expectations. Good performance and the camera is surprisingly good. Speakers sound tinny at high volume.,"{'label': 'POSITIVE', 'score': 0.9997479319572449}",0.9997479319572449,POSITIVE
user_7fdfa5ec,2025-09-11,Infinix Note 30,5,Solid device for the price. Battery life and display are impressive. Bought for my sibling.,"{'label': 'POSITIVE', 'score': 0.9998123049736023}",0.9998123049736023,POSITIVE
user_d6fc9803,2024-11-26,Infinix Note 30,4,Exceeded my expectations. Good performance and the camera is surprisingly good. Bought for my sibling.,"{'label': 'POSITIVE', 'score': 0.9998701810836792}",0.9998701810836792,POSITIVE
user_1479f3be,2025-09-23,Infinix Note 30,3,Average phone. Battery is fine but the camera could be better.,"{'label': 'NEGATIVE', 'score': 0.9793996810913086}",0.9793996810913086,NEGATIVE
user_4bac6b25,2024-11-01,Infinix Note 30,4,I love this phone — great value for money and the battery lasts all day. Phone lags on heavy apps/gaming.,"{'label': 'NEGATIVE', 'score': 0.9893763065338135}",0.9893763065338135,NEGATIVE
user_7e4f2377,2024-12-22,Infinix Note 30,3,Not bad for the price. Some lag when switching apps. Support was not responsive.,"{'label': 'NEGATIVE', 'score': 0.9995005130767822}",0.9995005130767822,NEGATIVE
user_e2984394,2025-02-20,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too. Bought for my sibling.","{'label': 'POSITIVE', 'score': 0.9994162321090698}",0.9994162321090698,POSITIVE
user_fd742682,2025-06-10,Infinix Note 30,2,Battery died within a few months. Wouldn't buy again. Price is a bit high for the features.,"{'label': 'NEGATIVE', 'score': 0.9870645999908447}",0.9870645999908447,NEGATIVE
user_ad16a777,2024-12-26,Infinix Note 30,4,Exceeded my expectations. Good performance and the camera is surprisingly good. Storage fills up quickly with large apps.,"{'label': 'POSITIVE', 'score': 0.9997068047523499}",0.9997068047523499,POSITIVE
user_b56bfa19,2025-09-21,Infinix Note 30,5,Exceeded my expectations. Good performance and the camera is surprisingly good. Design feels cheap and plasticky. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9939287900924683}",0.9939287900924683,POSITIVE
user_069a6e86,2025-04-19,Infinix Note 30,2,The phone arrived with scratches and the charger was missing.,"{'label': 'NEGATIVE', 'score': 0.9996839761734009}",0.9996839761734009,NEGATIVE
user_010c3541,2024-11-20,Infinix Note 30,4,"Good phone, nice screen quality and the battery charges quickly.","{'label': 'POSITIVE', 'score': 0.9991574287414551}",0.9991574287414551,POSITIVE
user_841ff0c3,2025-03-18,Infinix Note 30,4,"Excellent phone, reliable and fast. Customer service was helpful too. No lag when using social apps.","{'label': 'POSITIVE', 'score': 0.9993664622306824}",0.9993664622306824,POSITIVE
user_052c070a,2025-07-24,Infinix Note 30,5,Very happy with my purchase. Smooth UI and no lag even with many apps.,"{'label': 'POSITIVE', 'score': 0.9998558759689331}",0.9998558759689331,POSITIVE
user_c4525084,2025-08-19,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too.","{'label': 'POSITIVE', 'score': 0.9994518160820007}",0.9994518160820007,POSITIVE
user_77e435b1,2025-06-03,Infinix Note 30,5,Fantastic build and fast performance. Camera is excellent for the price. Screen has minor backlight bleeding. Na real talk.,"{'label': 'POSITIVE', 'score': 0.9993020296096802}",0.9993020296096802,POSITIVE
user_78b39cf4,2025-08-22,Infinix Note 30,5,"Excellent phone, reliable and fast. Customer service was helpful too. Speakers sound tinny at high volume.","{'label': 'POSITIVE', 'score': 0.9951202273368835}",0.9951202273368835,POSITIVE
user_ed5c6ec1,2025-09-14,Infinix Note 30,3,Package arrived intact. Phone is okay for everyday tasks. Charging is slower than expected.,"{'label': 'NEGATIVE', 'score': 0.5800735950469971}",0.5800735950469971,NEGATIVE
user_73aebb13,2025-08-06,Infinix Note 30,3,Package arrived intact. Phone is okay for everyday tasks.,"{'label': 'POSITIVE', 'score': 0.9969357252120972}",0.9969357252120972,POSITIVE
user_dcd1b3b6,2025-04-01,Infinix Note 30,4,I love this phone — great value for money and the battery lasts all day. Excellent price for the specs.,"{'label': 'POSITIVE', 'score': 0.9993101358413696}",0.9993101358413696,POSITIVE
user_1ea655b8,2025-02-08,Infinix Note 30,4,The phone arrived on time and works perfectly. Very satisfied.,"{'label': 'POSITIVE', 'score': 0.9998502731323242}",0.9998502731323242,POSITIVE
